a	a |
sikumbukaki	s i k u m b u k a k i |
sikumbuki	s i k u m b u k i |
sikuoni	s i k u o n i |
sikupanga	s i k u p a n g a |
sikupenda	s i k u p e n d a |
sikusaidia	s i k u s a i d i a |
sikusikiliza	s i k u s i k i l i z a |
sikutaka	s i k u t a k a |
sikutakiwa	s i k u t a k i w a |
sikutambui	s i k u t a m b u i |
sikutayarisha	s i k u t a y a r i s h a |
sikuwahi	s i k u w a h i |
sikuweza	s i k u w e z a |
sikuzaliwa	s i k u z a l i w a |
silaha	s i l a h a |
simamiwa	s i m a m i w a |
simba	s i m b a |
simon	s i m o n |
simone	s i m o n e |
simple	s i m p l e |
simu	s i m u |
sina	s i n a |
sindikizwa	s i n d i k i z w a |
sinema	s i n e m a |
singapore	s i n g a p o r e |
singapour	s i n g a p o u r |
singeamini	s i n g e a m i n i |
singejuwaka	s i n g e j u w a k a |
singekuwa	s i n g e k u w a |
singepashwa	s i n g e p a s h w a |
singepoteza	s i n g e p o t e z a |
singeweza	s i n g e w e z a |
sinzia	s i n z i a |
siogopaki	s i o g o p a k i |
sipati	s i p a t i |
sipendaki	s i p e n d a k i |
sipendi	s i p e n d i |
sipingi	s i p i n g i |
siri	s i r i |
sisafiri	s i s a f i r i |
sishimamii	s i s h i m a m i i |
sisi	s i s i |
sisitiza	s i s i t i z a |
sisitizo	s i s i t i z o |
sisomi	s i s o m i |
sita	s i t a |
sitaamua	s i t a a m u a |
sitafutaki	s i t a f u t a k i |
sitaitika	s i t a i t i k a |
sitajifanya	s i t a j i f a n y a |
sitaki	s i t a k i |
sitakuacha	s i t a k u a c h a |
sitakubali	s i t a k u b a l i |
sitakuwa	s i t a k u w a |
sitaogopa	s i t a o g o p a |
sitaongeza	s i t a o n g e z a |
sitarudia	s i t a r u d i a |
sitaruhusu	s i t a r u h u s u |
sitasema	s i t a s e m a |
sitasemaka	s i t a s e m a k a |
sitashimama	s i t a s h i m a m a |
sitatengeneza	s i t a t e n g e n e z a |
sitatokaka	s i t a t o k a k a |
sitatumikisha	s i t a t u m i k i s h a |
sitawahi	s i t a w a h i |
sitaweza	s i t a w e z a |
site	s i t e |
sites	s i t e s |
situmake	s i t u m a k e |
situmii	s i t u m i i |
sivumilii	s i v u m i l i i |
sivunjiki	s i v u n j i k i |
sivyo	s i v y o |
siwazi	s i w a z i |
siwezi	s i w e z i |
siyaamini	s i y a a m i n i |
siyaelewaka	s i y a e l e w a k a |
siyajua	s i y a j u a |
siye	s i y e |
siyepeke	s i y e p e k e |
siyo	s i y o |
sizani	s i z a n i |
skanere	s k a n e r e |
slack	s l a c k |
slovakia	s l o v a k i a |
smith	s m i t h |
sms	s m s |
sobyanin	s o b y a n i n |
sociale	s o c i a l e |
sociologie	s o c i o l o g i e |
soda	s o d a |
sodium	s o d i u m |
soie	s o i e |
soja	s o j a |
soka	s o k a |
soko	s o k o |
soksi	s o k s i |
solaris	s o l a r i s |
soma	s o m a |
somea	s o m e a |
somo	s o m o |
somwa	s o m w a |
sonatine	s o n a t i n e |
songa	s o n g a |
songe	s o n g e |
sophia	s o p h i a |
sophie	s o p h i e |
sorabes	s o r a b e s |
sorbent	s o r b e n t |
sosiso	s o s i s o |
soul	s o u l |
souligner	s o u l i g n e r |
soupape	s o u p a p e |
source	s o u r c e |
sousespace	s o u s e s p a c e |
soustraitants	s o u s t r a i t a n t s |
south	s o u t h |
sov	s o v |
sovieti	s o v i e t i |
sox	s o x |
sp	s p |
spd	s p d |
spectacle	s p e c t a c l e |
spencer	s p e n c e r |
sphinx	s p h i n x |
spiagurdy	s p i a g u r d y |
spike	s p i k e |
spores	s p o r e s |
sport	s p o r t |
square	s q u a r e |
sras	s r a s |
sre	s r e |
sri	s r i |
st	s t |
staafu	s t a a f u |
stage	s t a g e |
stahili	s t a h i l i |
staline	s t a l i n e |
stampa	s t a m p a |
stan	s t a n |
staphylocoque	s t a p h y l o c o q u e |
star	s t a r |
stars	s t a r s |
station	s t a t i o n |
statistique	s t a t i s t i q u e |
steak	s t e a k |
stéphane	s t é p h a n e |
stephen	s t e p h e n |
sterile	s t e r i l e |
steriles	s t e r i l e s |
steroide	s t e r o i d e |
steve	s t e v e |
stlouis	s t l o u i s |
stock	s t o c k |
stocks	s t o c k s |
stone	s t o n e |
stop	s t o p |
stopcovid	s t o p c o v i d |
stopkorona	s t o p k o r o n a |
store	s t o r e |
strathearn	s t r a t h e a r n |
street	s t r e e t |
studio	s t u d i o |
style	s t y l e |
suala	s u a l a |
subiri	s u b i r i |
subuni	s u b u n i |
sudoku	s u d o k u |
sue	s u e |
suède	s u è d e |
suffixe	s u f f i x e |
sufuri	s u f u r i |
suif	s u i f |
suisse	s u i s s e |
sukari	s u k a r i |
sulfurique	s u l f u r i q u e |
suluhisho	s u l u h i s h o |
sumbua	s u m b u a |
sumbuliwa	s u m b u l i w a |
sumu	s u m u |
sungura	s u n g u r a |
superman	s u p e r m a n |
supermarché	s u p e r m a r c h é |
supermarchés	s u p e r m a r c h é s |
supplemental	s u p p l e m e n t a l |
suprano	s u p r a n o |
suprise	s u p r i s e |
supu	s u p u |
sura	s u r a |
surveillance	s u r v e i l l a n c e |
sus	s u s |
susan	s u s a n |
suzie	s u z i e |
svo	s v o |
swahili	s w a h i l i |
swali	s w a l i |
swift	s w i f t |
sydney	s y d n e y |
sylvie	s y l v i e |
symposium	s y m p o s i u m |
syntaxe	s y n t a x e |
syracuse	s y r a c u s e |
syria	s y r i a |
systeme	s y s t e m e |
système	s y s t è m e |
systemes	s y s t e m e s |
t	t |
taa	t a a |
taarifa	t a a r i f a |
tabanika	t a b a n i k a |
tabasamu	t a b a s a m u |
tabia	t a b i a |
tabiriwa	t a b i r i w a |
tableau	t a b l e a u |
tablettes	t a b l e t t e s |
tableur	t a b l e u r |
tafadhali	t a f a d h a l i |
tafauti	t a f a u t i |
tafazali	t a f a z a l i |
tafiti	t a f i t i |
tafsiri	t a f s i r i |
tafsiriwa	t a f s i r i w a |
tafuta	t a f u t a |
tafuteni	t a f u t e n i |
tafutwa	t a f u t w a |
taifa	t a i f a |
taille	t a i l l e |
taipei	t a i p e i |
taiwan	t a i w a n |
tajari	t a j a r i |
tajariwa	t a j a r i w a |
tajiri	t a j i r i |
tajwa	t a j w a |
taka	t a k a |
takatifu	t a k a t i f u |
take	t a k e |
takiwa	t a k i w a |
tala	t a l a |
talibans	t a l i b a n s |
tamaa	t a m a a |
tamaduni	t a m a d u n i |
tamasha	t a m a s h a |
tambala	t a m b a l a |
tambua	t a m b u a |
tambulika	t a m b u l i k a |
tamko	t a m k o |
tamu	t a m u |
tanaka	t a n a k a |
tang	t a n g |
tanga	t a n g a |
tangaza	t a n g a z a |
tangaziwa	t a n g a z i w a |
tangazo	t a n g a z o |
tangazwa	t a n g a z w a |
tangu	t a n g u |
tani	t a n i |
tania	t a n i a |
tano	t a n o |
tapis	t a p i s |
tarajia	t a r a j i a |
tarajiwa	t a r a j i w a |
taratibu	t a r a t i b u |
tarayarisha	t a r a y a r i s h a |
tarehe	t a r e h e |
tarehesaa	t a r e h e s a a |
tartars	t a r t a r s |
tasse	t a s s e |
tasuku	t a s u k u |
tate	t a t e |
tatizo	t a t i z o |
tatoeba	t a t o e b a |
tatokea	t a t o k e a |
tatu	t a t u |
tatua	t a t u a |
taux	t a u x |
taxi	t a x i |
tayari	t a y a r i |
tayarimwende	t a y a r i m w e n d e |
tayarisha	t a y a r i s h a |
tayarishwa	t a y a r i s h w a |
taylor	t a y l o r |
tazama	t a z a m a |
tc	t c |
tcheque	t c h e q u e |
tchèque	t c h è q u e |
tdm	t d m |
technion	t e c h n i o n |
ted	t e d |
teddy	t e d d y |
tedros	t e d r o s |
tegemea	t e g e m e a |
teknoloji	t e k n o l o j i |
teknolojia	t e k n o l o j i a |
tekwa	t e k w a |
tele	t e l e |
télé	t é l é |
téléavertisseur	t é l é a v e r t i s s e u r |
telecharger	t e l e c h a r g e r |
telecomandes	t e l e c o m a n d e s |
telefone	t e l e f o n e |
téléfone	t é l é f o n e |
telegramme	t e l e g r a m m e |
télégramme	t é l é g r a m m e |
telephone	t e l e p h o n e |
téléthon	t é l é t h o n |
television	t e l e v i s i o n |
télévision	t é l é v i s i o n |
telex	t e l e x |
tembea	t e m b e a |
tembeza	t e m b e z a |
tembo	t e m b o |
tena	t e n a |
tendo	t e n d o |
tengeneza	t e n g e n e z a |
tengenezwa	t e n g e n e z w a |
tengwa	t e n g w a |
tenisi	t e n i s i |
tennis	t e n n i s |
tension	t e n s i o n |
tenues	t e n u e s |
terminal	t e r m i n a l |
terroriste	t e r r o r i s t e |
terroristes	t e r r o r i s t e s |
terry	t e r r y |
teseka	t e s e k a |
test	t e s t |
testing	t e s t i n g |
tetemeko	t e t e m e k o |
teucer	t e u c e r |
tevilah	t e v i l a h |
texas	t e x a s |
textes	t e x t e s |
thailande	t h a i l a n d e |
thank	t h a n k |
that	t h a t |
the	t h e |
theatre	t h e a t r e |
thebes	t h e b e s |
theo	t h e o |
théo	t h é o |
thermo	t h e r m o |
thermodynamique	t h e r m o d y n a m i q u e |
thermostat	t h e r m o s t a t |
thétis	t h é t i s |
thoma	t h o m a |
thomas	t h o m a s |
thompson	t h o m p s o n |
thrones	t h r o n e s |
thymète	t h y m è t e |
tia	t i a |
tianjin	t i a n j i n |
tibet	t i b e t |
ticket	t i c k e t |
tiers	t i e r s |
tillet	t i l l e t |
tim	t i m |
timbre	t i m b r e |
time	t i m e |
timeo	t i m e o |
timéo	t i m é o |
times	t i m e s |
timilika	t i m i l i k a |
timu	t i m u |
tina	t i n a |
tippytap	t i p p y t a p |
tippytaps	t i p p y t a p s |
tiririka	t i r i r i k a |
tishio	t i s h i o |
tissu	t i s s u |
tissue	t i s s u e |
titre	t i t r e |
titres	t i t r e s |
tiwa	t i w a |
tiya	t i y a |
tlc	t l c |
to	t o |
toa	t o a |
toast	t o a s t |
tobago	t o b a g o |
toby	t o b y |
toc	t o c |
tofauti	t o f a u t i |
tofu	t o f u |
toilette	t o i l e t t e |
toka	t o k a |
tokana	t o k a n a |
tokea	t o k e a |
tokeo	t o k e o |
tokugawa	t o k u g a w a |
tokwa	t o k w a |
tokyo	t o k y o |
tolewa	t o l e w a |
tom	t o m |
tomate	t o m a t e |
tomates	t o m a t e s |
tombola	t o m b o l a |
tommy	t o m m y |
tomodensitometrie	t o m o d e n s i t o m e t r i e |
tondeuse	t o n d e u s e |
toni	t o n i |
tonne	t o n n e |
tony	t o n y |
toroka	t o r o k a |
tosha	t o s h a |
tour	t o u r |
tourisme	t o u r i s m e |
touristes	t o u r i s t e s |
tournage	t o u r n a g e |
tourner	t o u r n e r |
tours	t o u r s |
towa	t o w a |
tracetogether	t r a c e t o g e t h e r |
tracker	t r a c k e r |
tracy	t r a c y |
traditore	t r a d i t o r e |
traduttore	t r a d u t t o r e |
trafalgar	t r a f a l g a r |
trafic	t r a f i c |
trailles	t r a i l l e s |
train	t r a i n |
traitement	t r a i t e m e n t |
traits	t r a i t s |
trampoline	t r a m p o l i n e |
trang	t r a n g |
travel	t r a v e l |
trek	t r e k |
trenton	t r e n t o n |
triclosan	t r i c l o s a n |
trimestre	t r i m e s t r e |
trinidad	t r i n i d a d |
tripoli	t r i p o l i |
troie	t r o i e |
trois	t r o i s |
trolls	t r o l l s |
tropical	t r o p i c a l |
troy	t r o y |
troyens	t r o y e n s |
trump	t r u m p |
tshirt	t s h i r t |
tsunami	t s u n a m i |
tu	t u |
tuachia	t u a c h i a |
tuanze	t u a n z e |
tubakie	t u b a k i e |
tube	t u b e |
tuendelee	t u e n d e l e e |
tueshimu	t u e s h i m u |
tueur	t u e u r |
tufanya	t u f a n y a |
tufanye	t u f a n y e |
tufate	t u f a t e |
tufikirie	t u f i k i r i e |
tugeuke	t u g e u k e |
tuhi	t u h i |
tuingeiacha	t u i n g e i a c h a |
tuite	t u i t e |
tuitike	t u i t i k e |
tujifanye	t u j i f a n y e |
tujue	t u j u e |
tujuwe	t u j u w e |
tukachezea	t u k a c h e z e a |
tukaita	t u k a i t a |
tukakamata	t u k a k a m a t a |
tukamate	t u k a m a t e |
tukamuomba	t u k a m u o m b a |
tukapeana	t u k a p e a n a |
tukawashitaki	t u k a w a s h i t a k i |
tukazungumuza	t u k a z u n g u m u z a |
tuki	t u k i |
tukicheza	t u k i c h e z a |
tukifanya	t u k i f a n y a |
tukikutanana	t u k i k u t a n a n a |
tukilinganisha	t u k i l i n g a n i s h a |
tukimuonesha	t u k i m u o n e s h a |
tukio	t u k i o |
tukiongelea	t u k i o n g e l e a |
tukiwa	t u k i w a |
tuko	t u k o |
tukule	t u k u l e |
tukulie	t u k u l i e |
tukuruhusu	t u k u r u h u s u |
tukuwe	t u k u w e |
tuli	t u l i |
tulia	t u l i a |
tulibaki	t u l i b a k i |
tulichagua	t u l i c h a g u a |
tulicheza	t u l i c h e z a |
tulielekea	t u l i e l e k e a |
tulienda	t u l i e n d a |
tuliepuka	t u l i e p u k a |
tulifahulu	t u l i f a h u l u |
tulifanya	t u l i f a n y a |
tulifanyikiwa	t u l i f a n y i k i w a |
tulifuatiliwa	t u l i f u a t i l i w a |
tulihamia	t u l i h a m i a |
tuliimba	t u l i i m b a |
tuliita	t u l i i t a |
tulijaribu	t u l i j a r i b u |
tulijikuta	t u l i j i k u t a |
tulijitahidi	t u l i j i t a h i d i |
tulijua	t u l i j u a |
tulikamata	t u l i k a m a t a |
tulikaribiana	t u l i k a r i b i a n a |
tulikomalia	t u l i k o m a l i a |
tulikua	t u l i k u a |
tulikubaliana	t u l i k u b a l i a n a |
tulikula	t u l i k u l a |
tulikutana	t u l i k u t a n a |
tulikutananaka	t u l i k u t a n a n a k a |
tulikuwa	t u l i k u w a |
tulikuwaka	t u l i k u w a k a |
tulikuwekea	t u l i k u w e k e a |
tulimaliza	t u l i m a l i z a |
tulimuchagua	t u l i m u c h a g u a |
tulimuona	t u l i m u o n a |
tulimwita	t u l i m w i t a |
tulingoa	t u l i n g o a |
tuliomba	t u l i o m b a |
tuliona	t u l i o n a |
tuliongea	t u l i o n g e a |
tuliongelea	t u l i o n g e l e a |
tulipanga	t u l i p a n g a |
tulipashwa	t u l i p a s h w a |
tulipashwaka	t u l i p a s h w a k a |
tulipata	t u l i p a t a |
tulipekuwa	t u l i p e k u w a |
tulipenda	t u l i p e n d a |
tulipita	t u l i p i t a |
tulipitisha	t u l i p i t i s h a |
tulipokea	t u l i p o k e a |
tulisafiri	t u l i s a f i r i |
tulisha	t u l i s h a |
tulishaita	t u l i s h a i t a |
tulishinda	t u l i s h i n d a |
tulisikia	t u l i s i k i a |
tulisoma	t u l i s o m a |
tuliteketeza	t u l i t e k e t e z a |
tulitengeneza	t u l i t e n g e n e z a |
tuliteseka	t u l i t e s e k a |
tulitoka	t u l i t o k a |
tulitokwa	t u l i t o k w a |
tulitumia	t u l i t u m i a |
tulivunja	t u l i v u n j a |
tulivyo	t u l i v y o |
tuliwaelezea	t u l i w a e l e z e a |
tuliweza	t u l i w e z a |
tuliyo	t u l i y o |
tuliza	t u l i z a |
tulizani	t u l i z a n i |
tulizo	t u l i z o |
tuma	t u m a |
tumaini	t u m a i n i |
tumainia	t u m a i n i a |
tumana	t u m a n a |
tumbako	t u m b a k o |
tumbo	t u m b o |
tumbu	t u m b u |
tume	t u m e |
tumejichanga	t u m e j i c h a n g a |
tumekuelewa	t u m e k u e l e w a |
tumemurudishia	t u m e m u r u d i s h i a |
tumeona	t u m e o n a |
tumeongeza	t u m e o n g e z a |
tumepata	t u m e p a t a |
tumepatia	t u m e p a t i a |
tumesamehe	t u m e s a m e h e |
tumeshinda	t u m e s h i n d a |
tumetumia	t u m e t u m i a |
tumeziona	t u m e z i o n a |
tumia	t u m i a |
tumika	t u m i k a |
tumikia	t u m i k i a |
tumikisha	t u m i k i s h a |
tumikishwa	t u m i k i s h w a |
tumiwa	t u m i w a |
tumubebe	t u m u b e b e |
tumwa	t u m w a |
tuna	t u n a |
tunaambiana	t u n a a m b i a n a |
tunaamini	t u n a a m i n i |
tunaangaika	t u n a a n g a i k a |
tunaangalia	t u n a a n g a l i a |
tunaanza	t u n a a n z a |
tunachekaka	t u n a c h e k a k a |
tunacho	t u n a c h o |
tunachukia	t u n a c h u k i a |
tunadanganya	t u n a d a n g a n y a |
tunaelewa	t u n a e l e w a |
tunaenda	t u n a e n d a |
tunafahamu	t u n a f a h a m u |
tunafanya	t u n a f a n y a |
tunafanyaka	t u n a f a n y a k a |
tunafata	t u n a f a t a |
tunafurahi	t u n a f u r a h i |
tunagundua	t u n a g u n d u a |
tunahitaji	t u n a h i t a j i |
tunahukumu	t u n a h u k u m u |
tunaiona	t u n a i o n a |
tunaionaka	t u n a i o n a k a |
tunaisema	t u n a i s e m a |
tunaishi	t u n a i s h i |
tunaisikia	t u n a i s i k i a |
tunajaribu	t u n a j a r i b u |
tunajihukumu	t u n a j i h u k u m u |
tunajikaza	t u n a j i k a z a |
tunajikuta	t u n a j i k u t a |
tunajisikilia	t u n a j i s i k i l i a |
tunajua	t u n a j u a |
tunajuaka	t u n a j u a k a |
tunajuana	t u n a j u a n a |
tunakamata	t u n a k a m a t a |
tunakaribia	t u n a k a r i b i a |
tunakatala	t u n a k a t a l a |
tunakubali	t u n a k u b a l i |
tunakufa	t u n a k u f a |
tunakula	t u n a k u l a |
tunakumbuka	t u n a k u m b u k a |
tunakumbusha	t u n a k u m b u s h a |
tunakuomba	t u n a k u o m b a |
tunakupa	t u n a k u p a |
tunakupatia	t u n a k u p a t i a |
tunakusanyika	t u n a k u s a n y i k a |
tunakutana	t u n a k u t a n a |
tunakutumia	t u n a k u t u m i a |
tunakuwa	t u n a k u w a |
tunakuwaka	t u n a k u w a k a |
tunakwazana	t u n a k w a z a n a |
tunakwenda	t u n a k w e n d a |
tunalala	t u n a l a l a |
tunalazimishwa	t u n a l a z i m i s h w a |
tunalia	t u n a l i a |
tunamaliza	t u n a m a l i z a |
tunamusukuma	t u n a m u s u k u m a |
tunangojea	t u n a n g o j e a |
tunanyamanza	t u n a n y a m a n z a |
tunao	t u n a o |
tunaombwa	t u n a o m b w a |
tunaona	t u n a o n a |
tunaonaka	t u n a o n a k a |
tunaongea	t u n a o n g e a |
tunapanga	t u n a p a n g a |
tunapashwa	t u n a p a s h w a |
tunapaswa	t u n a p a s w a |
tunapata	t u n a p a t a |
tunapenda	t u n a p e n d a |
tunapigana	t u n a p i g a n a |
tunapitisha	t u n a p i t i s h a |
tunapo	t u n a p o |
tunapoandaa	t u n a p o a n d a a |
tunapokea	t u n a p o k e a |
tunapotezaka	t u n a p o t e z a k a |
tunapumua	t u n a p u m u a |
tunarudia	t u n a r u d i a |
tunasahau	t u n a s a h a u |
tunasaidia	t u n a s a i d i a |
tunasaidiana	t u n a s a i d i a n a |
tunasema	t u n a s e m a |
tunasherekea	t u n a s h e r e k e a |
tunasikia	t u n a s i k i a |
tunasikiliza	t u n a s i k i l i z a |
tunasoma	t u n a s o m a |
tunatafunaka	t u n a t a f u n a k a |
tunatafuta	t u n a t a f u t a |
tunataka	t u n a t a k a |
tunatamani	t u n a t a m a n i |
tunategemea	t u n a t e g e m e a |
tunategwa	t u n a t e g w a |
tunatua	t u n a t u a |
tunatumahi	t u n a t u m a h i |
tunatumaini	t u n a t u m a i n i |
tunaumizaka	t u n a u m i z a k a |
tunaungana	t u n a u n g a n a |
tunavichunga	t u n a v i c h u n g a |
tunavifanya	t u n a v i f a n y a |
tunavyo	t u n a v y o |
tunawavamia	t u n a w a v a m i a |
tunawaza	t u n a w a z a |
tunawazaka	t u n a w a z a k a |
tunaweka	t u n a w e k a |
tunaweza	t u n a w e z a |
tunayo	t u n a y o |
tunayofanyia	t u n a y o f a n y i a |
tunazidi	t u n a z i d i |
tunazo	t u n a z o |
tunazowea	t u n a z o w e a |
tunazungumuzia	t u n a z u n g u m u z i a |
tunazungumza	t u n a z u n g u m z a |
tunda	t u n d a |
tundu	t u n d u |
tungali	t u n g a l i |
tungekuwa	t u n g e k u w a |
tungepashwa	t u n g e p a s h w a |
tungependa	t u n g e p e n d a |
tungeweza	t u n g e w e z a |
tunza	t u n z a |
tunzwa	t u n z w a |
tuone	t u o n e |
tuongeze	t u o n g e z e |
tupiana	t u p i a n a |
tupilia	t u p i l i a |
tupumuzike	t u p u m u z i k e |
tupwa	t u p w a |
turing	t u r i n g |
turner	t u r n e r |
turquoise	t u r q u o i s e |
tusahau	t u s a h a u |
tuseme	t u s e m e |
tusiruhusu	t u s i r u h u s u |
tusisahau	t u s i s a h a u |
tusumbua	t u s u m b u a |
tuta	t u t a |
tutaamua	t u t a a m u a |
tutaanza	t u t a a n z a |
tutachukuwa	t u t a c h u k u w a |
tutaendelea	t u t a e n d e l e a |
tutafanya	t u t a f a n y a |
tutafika	t u t a f i k a |
tutagabula	t u t a g a b u l a |
tutahitaji	t u t a h i t a j i |
tutahukumu	t u t a h u k u m u |
tutajaza	t u t a j a z a |
tutajiandaa	t u t a j i a n d a a |
tutajitahidi	t u t a j i t a h i d i |
tutajulisha	t u t a j u l i s h a |
tutakosa	t u t a k o s a |
tutakula	t u t a k u l a |
tutalazimika	t u t a l a z i m i k a |
tutamalizika	t u t a m a l i z i k a |
tutangoja	t u t a n g o j a |
tutaomba	t u t a o m b a |
tutaonana	t u t a o n a n a |
tutaondoka	t u t a o n d o k a |
tutapanga	t u t a p a n g a |
tutapatanaka	t u t a p a t a n a k a |
tutapeleka	t u t a p e l e k a |
tutapiganisha	t u t a p i g a n i s h a |
tutatangaza	t u t a t a n g a z a |
tutatekeleza	t u t a t e k e l e z a |
tutatengeneza	t u t a t e n g e n e z a |
tutatoa	t u t a t o a |
tutatuma	t u t a t u m a |
tutavizia	t u t a v i z i a |
tutavuna	t u t a v u n a |
tutoe	t u t o e |
tutoke	t u t o k e |
tutume	t u t u m e |
tüv	t ü v |
tuvute	t u v u t e |
tuwe	t u w e |
tuweke	t u w e k e |
tuweze	t u w e z e |
tuyau	t u y a u |
tuzo	t u z o |
tuzunguka	t u z u n g u k a |
tuzungumuzie	t u z u n g u m u z i e |
tv	t v |
tver	t v e r |
twitter	t w i t t e r |
tyreans	t y r e a n s |
u	u |
ŭ	ŭ |
uaah	u a a h |
uache	u a c h e |
uambukizi	u a m b u k i z i |
uaminifu	u a m i n i f u |
uamue	u a m u e |
uamuzi	u a m u z i |
uandike	u a n d i k e |
uandishi	u a n d i s h i |
uangalifu	u a n g a l i f u |
uanze	u a n z e |
uawa	u a w a |
ubadilishaji	u b a d i l i s h a j i |
ubaguzi	u b a g u z i |
ubaho	u b a h o |
ubakaji	u b a k a j i |
ubalozi	u b a l o z i |
ubani	u b a n i |
ubaoni	u b a o n i |
ubatili	u b a t i l i |
ubaya	u b a y a |
ubelgiji	u b e l g i j i |
ubinadamu	u b i n a d a m u |
ubishi	u b i s h i |
ubora	u b o r a |
uboreshaji	u b o r e s h a j i |
ubunifu	u b u n i f u |
uchafu	u c h a f u |
uchafuzi	u c h a f u z i |
uchague	u c h a g u e |
uchaguliwe	u c h a g u l i w e |
uchaguzi	u c h a g u z i |
uchange	u c h a n g e |
uchangie	u c h a n g i e |
uchawi	u c h a w i |
ucheke	u c h e k e |
ucheshi	u c h e s h i |
uchi	u c h i |
uchimbaji	u c h i m b a j i |
uchokozi	u c h o k o z i |
uchomeke	u c h o m e k e |
uchoraji	u c h o r a j i |
uchumba	u c h u m b a |
uchumi	u c h u m i |
uchungu	u c h u n g u |
uchunguzaji	u c h u n g u z a j i |
uchunguze	u c h u n g u z e |
uchunguzi	u c h u n g u z i |
udanganyifu	u d a n g a n y i f u |
udongo	u d o n g o |
ue	u e |
uefa	u e f a |
uende	u e n d e |
uerevu	u e r e v u |
ufahamu	u f a h a m u |
ufalme	u f a l m e |
ufanye	u f a n y e |
ufaransa	u f a r a n s a |
ufazili	u f a z i l i |
ufichi	u f i c h i |
ufike	u f i k e |
ufikiri	u f i k i r i |
ufikirie	u f i k i r i e |
ufilipino	u f i l i p i n o |
ufuate	u f u a t e |
ufuatiliaji	u f u a t i l i a j i |
ufundi	u f u n d i |
ufundishaji	u f u n d i s h a j i |
ufupi	u f u p i |
ugabuaji	u g a b u a j i |
ugaidi	u g a i d i |
uganga	u g a n g a |
ugawaji	u g a w a j i |
ugeuke	u g e u k e |
ugeuze	u g e u z e |
ugiriki	u g i r i k i |
ugombeaji	u g o m b e a j i |
ugomvi	u g o m v i |
ugonjwa	u g o n j w a |
ugunduzi	u g u n d u z i |
uhakika	u h a k i k a |
uhakikishe	u h a k i k i s h e |
uhakikisho	u h a k i k i s h o |
uhalifu	u h a l i f u |
uhamishaji	u h a m i s h a j i |
uhamisho	u h a m i s h o |
uharibifu	u h a r i b i f u |
uhifazi	u h i f a z i |
uhimizaji	u h i m i z a j i |
uhimzaji	u h i m z a j i |
uhindu	u h i n d u |
uhisiano	u h i s i a n o |
uhispania	u h i s p a n i a |
uhm	u h m |
uholanzi	u h o l a n z i |
uhuru	u h u r u |
uhusiano	u h u s i a n o |
uigawe	u i g a w e |
uijue	u i j u e |
uikale	u i k a l e |
uikamate	u i k a m a t e |
uikunywe	u i k u n y w e |
uingereza	u i n g e r e z a |
uingie	u i n g i e |
uishi	u i s h i |
uislam	u i s l a m |
uislamu	u i s l a m u |
uispania	u i s p a n i a |
uite	u i t e |
ujambazi	u j a m b a z i |
ujana	u j a n a |
ujanja	u j a n j a |
ujao	u j a o |
ujapani	u j a p a n i |
ujaribu	u j a r i b u |
ujasiri	u j a s i r i |
ujenzi	u j e n z i |
ujeremani	u j e r e m a n i |
ujerimani	u j e r i m a n i |
ujerumani	u j e r u m a n i |
ujeuri	u j e u r i |
ujiandikishe	u j i a n d i k i s h e |
ujibie	u j i b i e |
ujibu	u j i b u |
ujikaze	u j i k a z e |
ujikute	u j i k u t e |
ujinga	u j i n g a |
ujisaidie	u j i s a i d i e |
ujue	u j u e |
ujumbe	u j u m b e |
ujumla	u j u m l a |
ujuzi	u j u z i |
ukali	u k a l i |
ukamilifu	u k a m i l i f u |
ukanifata	u k a n i f a t a |
ukapiga	u k a p i g a |
ukaribie	u k a r i b i e |
ukaribu	u k a r i b u |
ukarimu	u k a r i m u |
uki	u k i |
ukiangalia	u k i a n g a l i a |
ukiangalilia	u k i a n g a l i l i a |
ukianza	u k i a n z a |
ukianzia	u k i a n z i a |
ukienda	u k i e n d a |
ukiendelea	u k i e n d e l e a |
ukifanyika	u k i f a n y i k a |
ukifika	u k i f i k a |
ukigusa	u k i g u s a |
ukiilinganisha	u k i i l i n g a n i s h a |
ukiiona	u k i i o n a |
ukijikuta	u k i j i k u t a |
ukijua	u k i j u a |
ukikutanana	u k i k u t a n a n a |
ukikuwa	u k i k u w a |
ukilala	u k i l a l a |
ukilinganisha	u k i l i n g a n i s h a |
ukimbie	u k i m b i e |
ukimualika	u k i m u a l i k a |
ukimuangazia	u k i m u a n g a z i a |
ukimufata	u k i m u f a t a |
ukimukimbia	u k i m u k i m b i a |
ukimuuliza	u k i m u u l i z a |
ukimya	u k i m y a |
ukingali	u k i n g a l i |
ukingo	u k i n g o |
ukiniacha	u k i n i a c h a |
ukinisaidia	u k i n i s a i d i a |
ukinitumia	u k i n i t u m i a |
ukiongozwa	u k i o n g o z w a |
ukipanda	u k i p a n d a |
ukipata	u k i p a t a |
ukipewa	u k i p e w a |
ukipindua	u k i p i n d u a |
ukiri	u k i r i |
ukirudia	u k i r u d i a |
ukishapita	u k i s h a p i t a |
ukisikiliza	u k i s i k i l i z a |
ukisoma	u k i s o m a |
ukitaka	u k i t a k a |
ukitazama	u k i t a z a m a |
ukitia	u k i t i a |
ukitosha	u k i t o s h a |
ukitumia	u k i t u m i a |
ukiuliza	u k i u l i z a |
