a	a |
mpo	m p o |
mpokwa	m p o k w a |
mpomba	m p o m b a |
mposa	m p o s a |
mposo	m p o s o |
mpu	m p u |
mpunda	m p u n d a |
mputu	m p u t u |
mpwasa	m p w a s a |
mpɔna	m p ɔ n a |
mpɔngi	m p ɔ n g i |
mpɔta	m p ɔ t a |
mpɛmbɛ	m p ɛ m b ɛ |
mpɛmbɛni	m p ɛ m b ɛ n i |
muconfia	m u c o n f i a |
mufa	m u f a |
muji	m u j i |
mukanda	m u k a n d a |
muke	m u k e |
mukolo	m u k o l o |
mulayi	m u l a y i |
mulongo	m u l o n g o |
mumbafu	m u m b a f u |
mundanda	m u n d a n d a |
mundɛlɛ	m u n d ɛ l ɛ |
munkamba	m u n k a m b a |
muntu	m u n t u |
mupela	m u p e l a |
mur	m u r |
mura	m u r a |
mususu	m u s u s u |
mutu	m u t u |
mutuangani	m u t u a n g a n i |
mutuango	m u t u a n g o |
mutuka	m u t u k a |
mvula	m v u l a |
mwa	m w a |
mwambe	m w a m b e |
mwana	m w a n a |
mwananyoka	m w a n a n y o k a |
mwasi	m w a s i |
mwenedintu	m w e n e d i n t u |
mwindu	m w i n d u |
mystique	m y s t i q u e |
mɔlɔngɔ	m ɔ l ɔ n g ɔ |
mɔtɔ	m ɔ t ɔ |
mɔtɔki	m ɔ t ɔ k i |
mɔtɔmboki	m ɔ t ɔ m b o k i |
mɔtɔrisee	m ɔ t ɔ r i s e e |
mɔtɔrs	m ɔ t ɔ r s |
na	n a |
nabala	n a b a l a |
nabanga	n a b a n g a |
nabengaki	n a b e n g a k i |
nabeta	n a b e t a |
nabetelaki	n a b e t e l a k i |
nabokola	n a b o k o l a |
nabomaboma	n a b o m a b o m a |
nabomaki	n a b o m a k i |
nabomi	n a b o m i |
nabomisi	n a b o m i s i |
nabongoli	n a b o n g o l i |
nabosana	n a b o s a n a |
nabosanaki	n a b o s a n a k i |
nabota	n a b o t a |
nabotama	n a b o t a m a |
naboti	n a b o t i |
naboulonaka	n a b o u l o n a k a |
naboyaki	n a b o y a k i |
naboyi	n a b o y i |
nabukanaki	n a b u k a n a k i |
nabuki	n a b u k i |
nafanda	n a f a n d a |
nafandaka	n a f a n d a k a |
nafutela	n a f u t e l a |
nafutelaka	n a f u t e l a k a |
naino	n a i n o |
nakangaki	n a k a n g a k i |
nakangi	n a k a n g i |
nakanisa	n a k a n i s a |
nakanisaki	n a k a n i s a k i |
nakanisi	n a k a n i s i |
nakata	n a k a t a |
nakengelaka	n a k e n g e l a k a |
nakeyi	n a k e y i |
nakima	n a k i m a |
nakipaka	n a k i p a k a |
nakobanda	n a k o b a n d a |
nakobengisa	n a k o b e n g i s a |
nakobeta	n a k o b e t a |
nakobima	n a k o b i m a |
nakobimisa	n a k o b i m i s a |
nakobokola	n a k o b o k o l a |
nakoboma	n a k o b o m a |
nakofazer	n a k o f a z e r |
nakofuta	n a k o f u t a |
nakoki	n a k o k i |
nakokisa	n a k o k i s a |
nakokitisa	n a k o k i t i s a |
nakokoka	n a k o k o k a |
nakokufa	n a k o k u f a |
nakokɛndɛ	n a k o k ɛ n d ɛ |
nakolakisa	n a k o l a k i s a |
nakoleka	n a k o l e k a |
nakoloba	n a k o l o b a |
nakolobela	n a k o l o b e l a |
nakoluka	n a k o l u k a |
nakoma	n a k o m a |
nakomaki	n a k o m a k i |
nakomanquer	n a k o m a n q u e r |
nakomeli	n a k o m e l i |
nakomema	n a k o m e m a |
nakomi	n a k o m i |
nakomiboma	n a k o m i b o m a |
nakopanza	n a k o p a n z a |
nakopesa	n a k o p e s a |
nakopesela	n a k o p e s e l a |
nakoprouver	n a k o p r o u v e r |
nakosala	n a k o s a l a |
nakosangisa	n a k o s a n g i s a |
nakoseka	n a k o s e k a |
nakosoli	n a k o s o l i |
nakosomba	n a k o s o m b a |
nakosuka	n a k o s u k a |
nakotaki	n a k o t a k i |
nakotikela	n a k o t i k e l a |
nakotindela	n a k o t i n d e l a |
nakotumba	n a k o t u m b a |
nakoya	n a k o y a |
nakoyebisa	n a k o y e b i s a |
nakoyiba	n a k o y i b a |
nakozala	n a k o z a l a |
nakozela	n a k o z e l a |
nakozonga	n a k o z o n g a |
nakozwa	n a k o z w a |
nakufa	n a k u f a |
nakufi	n a k u f i |
nakumbɛli	n a k u m b ɛ l i |
nakutana	n a k u t a n a |
nakutanaki	n a k u t a n a k i |
nakutani	n a k u t a n i |
nakɛndaki	n a k ɛ n d a k i |
nakɛndɛ	n a k ɛ n d ɛ |
nalambaka	n a l a m b a k a |
nalamuka	n a l a m u k a |
nalamukaki	n a l a m u k a k i |
nalapaka	n a l a p a k a |
naleka	n a l e k a |
nalingaka	n a l i n g a k a |
nalingaki	n a l i n g a k i |
nalingi	n a l i n g i |
naloba	n a l o b a |
nalobaki	n a l o b a k i |
nalobela	n a l o b e l a |
nalobi	n a l o b i |
nalonaki	n a l o n a k i |
nalongwa	n a l o n g w a |
nalongwaka	n a l o n g w a k a |
nalova	n a l o v a |
nalukaka	n a l u k a k a |
naluki	n a l u k i |
nalulaki	n a l u l a k i |
nalɛmbaki	n a l ɛ m b a k i |
nalɛmbi	n a l ɛ m b i |
namemaki	n a m e m a k i |
namilobelaki	n a m i l o b e l a k i |
namilukelaka	n a m i l u k e l a k a |
namituna	n a m i t u n a |
namona	n a m o n a |
namonaki	n a m o n a k i |
namoni	n a m o n i |
nandimbolela	n a n d i m b o l e l a |
nani	n a n i |
nanu	n a n u |
nanyata	n a n y a t a |
napanzela	n a p a n z e l a |
napekisaki	n a p e k i s a k i |
napesa	n a p e s a |
napesaka	n a p e s a k a |
napesaki	n a p e s a k i |
nasala	n a s a l a |
nasalaka	n a s a l a k a |
nasalaki	n a s a l a k i |
nasali	n a s a l i |
nasalisa	n a s a l i s a |
nasamba	n a s a m b a |
nasangisa	n a s a n g i s a |
nasanzele	n a s a n z e l e |
nasengi	n a s e n g i |
nasepelaki	n a s e p e l a k i |
nasi	n a s i |
nasilisa	n a s i l i s a |
nasimbaki	n a s i m b a k i |
nasimbi	n a s i m b i |
nasoldela	n a s o l d e l a |
nasombi	n a s o m b i |
nasuki	n a s u k i |
nasunga	n a s u n g a |
nasuta	n a s u t a |
natali	n a t a l i |
nateka	n a t e k a |
natekaka	n a t e k a k a |
natekelaki	n a t e k e l a k i |
natelema	n a t e l e m a |
natelemaki	n a t e l e m a k i |
natia	n a t i a |
natie	n a t i e |
natielaki	n a t i e l a k i |
natika	n a t i k a |
natikela	n a t i k e l a |
natimbela	n a t i m b e l a |
natosaka	n a t o s a k a |
natunaki	n a t u n a k i |
natuni	n a t u n i |
nawangana	n a w a n g a n a |
nawelaki	n a w e l a k i |
naweli	n a w e l i |
nawuta	n a w u t a |
nawutaka	n a w u t a k a |
nawuti	n a w u t i |
naya	n a y a |
nayaka	n a y a k a |
nayaki	n a y a k i |
nayamba	n a y a m b a |
nayambaki	n a y a m b a k i |
naye	n a y e |
nayeba	n a y e b a |
nayebaka	n a y e b a k a |
nayebaki	n a y e b a k i |
nayebi	n a y e b i |
nayebisa	n a y e b i s a |
nayebisaki	n a y e b i s a k i |
nayebisi	n a y e b i s i |
nayibaka	n a y i b a k a |
nayoka	n a y o k a |
nayokaka	n a y o k a k a |
nayokaki	n a y o k a k i |
nayokisa	n a y o k i s a |
nazala	n a z a l a |
nazalaka	n a z a l a k a |
nazalaki	n a z a l a k i |
nazali	n a z a l i |
nazangi	n a z a n g i |
nazobenga	n a z o b e n g a |
nazodondwa	n a z o d o n d w a |
nazoka	n a z o k a |
nazolambela	n a z o l a m b e l a |
nazolekisa	n a z o l e k i s a |
nazomona	n a z o m o n a |
nazonga	n a z o n g a |
nazongaka	n a z o n g a k a |
nazongaki	n a z o n g a k i |
nazongi	n a z o n g i |
nazotala	n a z o t a l a |
nazozela	n a z o z e l a |
nazwa	n a z w a |
nazwaki	n a z w a k i |
nazwi	n a z w i |
ndai	n d a i |
ndakisa	n d a k i s a |
ndako	n d a k o |
ndaku	n d a k u |
ndakuango	n d a k u a n g o |
ndambo	n d a m b o |
ndambu	n d a m b u |
nde	n d e |
ndeko	n d e k o |
ndelo	n d e l o |
ndenge	n d e n g e |
ndikila	n d i k i l a |
ndinga	n d i n g a |
ndingisa	n d i n g i s a |
ndjili	n d j i l i |
ndoki	n d o k i |
ndonge	n d o n g e |
ndumba	n d u m b a |
ndɔtɔ	n d ɔ t ɔ |
ndɛkɛ	n d ɛ k ɛ |
ndɛlɛ	n d ɛ l ɛ |
ne	n e |
nesprit	n e s p r i t |
neti	n e t i |
nettoyage	n e t t o y a g e |
neuf	n e u f |
neuve	n e u v e |
newyɔrk	n e w y ɔ r k |
nga	n g a |
ngai	n g a i |
ngala	n g a l a |
ngambo	n g a m b o |
ngana	n g a n a |
nganda	n g a n d a |
ngangamayɛlɛ	n g a n g a m a y ɛ l ɛ |
ngaya	n g a y a |
ngayi	n g a y i |
ngbaka	n g b a k a |
ngbanda	n g b a n d a |
ngenge	n g e n g e |
ngolo	n g o l o |
ngolu	n g o l u |
ngonga	n g o n g a |
ngubu	n g u b u |
ngulu	n g u l u |
ngulupa	n g u l u p a |
nguma	n g u m a |
ngunda	n g u n d a |
ngungi	n g u n g i |
nguya	n g u y a |
ngwa	n g w a |
niarcos	n i a r c o s |
nido	n i d o |
nini	n i n i |
niveau	n i v e a u |
nka	n k a |
nkale	n k a l e |
nkama	n k a m a |
nkanda	n k a n d a |
nkasi	n k a s i |
nkema	n k e m a |
nkembo	n k e m b o |
nketo	n k e t o |
nkita	n k i t a |
nko	n k o |
nkombo	n k o m b o |
nkoto	n k o t o |
nkuku	n k u k u |
nkunda	n k u n d a |
nkɛlɛ	n k ɛ l ɛ |
nnsima	n n s i m a |
nntembe	n n t e m b e |
noir	n o i r |
noko	n o k o |
non	n o n |
nord	n o r d |
normal	n o r m a l |
nous	n o u s |
nouvelle	n o u v e l l e |
nsamba	n s a m b a |
nsambo	n s a m b o |
nsango	n s a n g o |
nsele	n s e l e |
nsima	n s i m a |
nsimanalobi	n s i m a n a l o b i |
nsinga	n s i n g a |
nsoso	n s o s o |
nsoul	n s o u l |
nsɔmɔ	n s ɔ m ɔ |
nsɔni	n s ɔ n i |
ntaka	n t a k a |
ntango	n t a n g o |
ntangu	n t a n g u |
nteba	n t e b a |
ntela	n t e l a |
ntembe	n t e m b e |
ntina	n t i n a |
ntuku	n t u k u |
ntɔngɔ	n t ɔ n g ɔ |
ntɔngɔntɔngɔ	n t ɔ n g ɔ n t ɔ n g ɔ |
nwa	n w a |
nyama	n y a m a |
nyangalakata	n y a n g a l a k a t a |
nye	n y e |
nyere	n y e r e |
nyoka	n y o k a |
nyɔngo	n y ɔ n g o |
nyɔnso	n y ɔ n s o |
nyɔsɔ	n y ɔ s ɔ |
nzakomba	n z a k o m b a |
nzala	n z a l a |
nzali	n z a l i |
nzambe	n z a m b e |
nzela	n z e l a |
nzelanzela	n z e l a n z e l a |
nzele	n z e l e |
nzete	n z e t e |
nzingakuvu	n z i n g a k u v u |
nzoka	n z o k a |
nzokande	n z o k a n d e |
nzoto	n z o t o |
nzoyi	n z o y i |
nzutu	n z u t u |
obaka	o b a k a |
obakisa	o b a k i s a |
obala	o b a l a |
obali	o b a l i |
obaloli	o b a l o l i |
obandaki	o b a n d a k i |
obandi	o b a n d i |
obaye	o b a y e |
obeba	o b e b a |
obendani	o b e n d a n i |
obengi	o b e n g i |
obeta	o b e t a |
obeti	o b e t i |
obiki	o b i k i |
obima	o b i m a |
obimi	o b i m i |
obimisaka	o b i m i s a k a |
obokola	o b o k o l a |
oboma	o b o m a |
obomaki	o b o m a k i |
obomba	o b o m b a |
obongisa	o b o n g i s a |
obosani	o b o s a n i |
obota	o b o t a |
oboter	o b o t e r |
oboyaka	o b o y a k a |
oboyi	o b o y i |
obundi	o b u n d i |
obɔtɔla	o b ɔ t ɔ l a |
ococher	o c o c h e r |
ocontinuer	o c o n t i n u e r |
ofanda	o f a n d a |
ofandi	o f a n d i |
ofazer	o f a z e r |
office	o f f i c e |
ofinga	o f i n g a |
ofutela	o f u t e l a |
okangi	o k a n g i |
okangisi	o k a n g i s i |
okanisaki	o k a n i s a k i |
okanisi	o k a n i s i |
okeyi	o k e y i |
okobanda	o k o b a n d a |
okobeba	o k o b e b a |
okobeta	o k o b e t a |
okoexpliquer	o k o e x p l i q u e r |
okofanda	o k o f a n d a |
okofuta	o k o f u t a |
okokaki	o k o k a k i |
okokanisa	o k o k a n i s a |
okoki	o k o k i |
okokoma	o k o k o m a |
okokufa	o k o k u f a |
okokuta	o k o k u t a |
okokutana	o k o k u t a n a |
okokɛndɛ	o k o k ɛ n d ɛ |
okolakisa	o k o l a k i s a |
okolata	o k o l a t a |
okoleka	o k o l e k a |
okolia	o k o l i a |
okolonga	o k o l o n g a |
okoma	o k o m a |
okomata	o k o m a t a |
okomi	o k o m i |
okomikoka	o k o m i k o k a |
okomona	o k o m o n a |
okondima	o k o n d i m a |
okopema	o k o p e m a |
okopesa	o k o p e s a |
okorever	o k o r e v e r |
okosala	o k o s a l a |
okosepela	o k o s e p e l a |
okosuka	o k o s u k a |
okosutuka	o k o s u t u k a |
okota	o k o t a |
okotangisa	o k o t a n g i s a |
okoti	o k o t i |
okotikala	o k o t i k a l a |
okotimbela	o k o t i m b e l a |
okotindela	o k o t i n d e l a |
okoya	o k o y a |
okoyoka	o k o y o k a |
okozala	o k o z a l a |
okozela	o k o z e l a |
okozwa	o k o z w a |
okufi	o k u f i |
okɛnda	o k ɛ n d a |
okɛndaki	o k ɛ n d a k i |
okɛndɛ	o k ɛ n d ɛ |
okɛndɛki	o k ɛ n d ɛ k i |
olalaki	o l a l a k i |
olataka	o l a t a k a |
olati	o l a t i |
oleki	o l e k i |
olela	o l e l a |
olesaka	o l e s a k a |
oliaka	o l i a k a |
olinga	o l i n g a |
olingaka	o l i n g a k a |
olingi	o l i n g i |
oliya	o l i y a |
oloba	o l o b a |
olobaki	o l o b a k i |
olobi	o l o b i |
olomide	o l o m i d e |
olonga	o l o n g a |
olongwa	o l o n g w a |
omeka	o m e k a |
omibomeli	o m i b o m e l i |
omitiki	o m i t i k i |
omona	o m o n a |
omonaki	o m o n a k i |
omoni	o m o n i |
omɛla	o m ɛ l a |
on	o n |
ong	o n g |
onu	o n u |
onyati	o n y a t i |
onyɔkɔlaki	o n y ɔ k ɔ l a k i |
oo	o o |
opepi	o p e p i |
operation	o p e r a t i o n |
opesa	o p e s a |
opesi	o p e s i |
ophoner	o p h o n e r |
opposition	o p p o s i t i o n |
opusani	o p u s a n i |
opɔni	o p ɔ n i |
ordonnance	o r d o n n a n c e |
orever	o r e v e r |
osala	o s a l a |
osalaka	o s a l a k a |
osali	o s a l i |
osi	o s i |
osila	o s i l a |
osilisa	o s i l i s a |
osilisi	o s i l i s i |
osolola	o s o l o l a |
osombela	o s o m b e l a |
osombi	o s o m b i |
otali	o t a l i |
otanga	o t a n g a |
otangama	o t a n g a m a |
otangi	o t a n g i |
oteki	o t e k i |
otekisi	o t e k i s i |
otia	o t i a |
otie	o t i e |
otiki	o t i k i |
otingama	o t i n g a m a |
otomboli	o t o m b o l i |
otongi	o t o n g i |
otuni	o t u n i |
otɔnga	o t ɔ n g a |
oui	o u i |
owuti	o w u t i |
oya	o y a |
oyaki	o y a k i |
oye	o y e |
oyeba	o y e b a |
oyebana	o y e b a n a |
oyebi	o y e b i |
oyebisaki	o y e b i s a k i |
oyebisi	o y e b i s i |
oyibaki	o y i b a k i |
oyibi	o y i b i |
oyoki	o y o k i |
oyɔ	o y ɔ |
oza	o z a |
ozalaka	o z a l a k a |
ozalaki	o z a l a k i |
ozali	o z a l i |
ozangi	o z a n g i |
ozo	o z o |
ozodondwela	o z o d o n d w e l a |
ozokufa	o z o k u f a |
ozoloba	o z o l o b a |
ozoluka	o z o l u k a |
ozomona	o z o m o n a |
ozongi	o z o n g i |
ozongisa	o z o n g i s a |
ozongisi	o z o n g i s i |
ozosolola	o z o s o l o l a |
ozoya	o z o y a |
ozozwela	o z o z w e l a |
ozwa	o z w a |
ozwaka	o z w a k a |
ozwi	o z w i |
palais	p a l a i s |
palata	p a l a t a |
panama	p a n a m a |
pantalon	p a n t a l o n |
papa	p a p a |
papafinance	p a p a f i n a n c e |
papier	p a p i e r |
par	p a r |
paradis	p a r a d i s |
pardon	p a r d o n |
parebrise	p a r e b r i s e |
paris	p a r i s |
parking	p a r k i n g |
parlerenlangue	p a r l e r e n l a n g u e |
parmi	p a r m i |
parti	p a r t i |
partie	p a r t i e |
pas	p a s |
pascal	p a s c a l |
pasi	p a s i |
passeport	p a s s e p o r t |
passer	p a s s e r |
pasta	p a s t a |
pastafinance	p a s t a f i n a n c e |
pastamapamboli	p a s t a m a p a m b o l i |
patron	p a t r o n |
pawu	p a w u |
pe	p e |
pema	p e m a |
pepe	p e p e |
pepo	p e p o |
pere	p e r e |
periode	p e r i o d e |
permission	p e r m i s s i o n |
pesa	p e s a |
petit	p e t i t |
physique	p h y s i q u e |
pickup	p i c k u p |
pierre	p i e r r e |
pilote	p i l o t e |
pine	p i n e |
plafond	p l a f o n d |
plateau	p l a t e a u |
plus	p l u s |
pmu	p m u |
po	p o |
poche	p o c h e |
pointenoire	p o i n t e n o i r e |
polele	p o l e l e |
police	p o l i c e |
policier	p o l i c i e r |
politiki	p o l i t i k i |
pompe	p o m p e |
pondu	p o n d u |
pongi	p o n g i |
pontgaby	p o n t g a b y |
pontkasavubu	p o n t k a s a v u b u |
ponton	p o n t o n |
populaire	p o p u l a i r e |
porowe	p o r o w e |
porte	p o r t e |
posa	p o s a |
position	p o s i t i o n |
poso	p o s o |
poste	p o s t e |
poto	p o t o |
pprd	p p r d |
preavis	p r e a v i s |
president	p r e s i d e n t |
preuve	p r e u v e |
primus	p r i m u s |
prix	p r i x |
probleme	p r o b l e m e |
prof	p r o f |
professeur	p r o f e s s e u r |
prophetie	p r o p h e t i e |
puis	p u i s |
pusu	p u s u |
pɛnɛ	p ɛ n ɛ |
pɛnɛpɛnɛ	p ɛ n ɛ p ɛ n ɛ |
quantite	q u a n t i t e |
quarante	q u a r a n t e |
quartier	q u a r t i e r |
quatre	q u a t r e |
quatrieme	q u a t r i e m e |
que	q u e |
quel	q u e l |
qui	q u i |
quinze	q u i n z e |
quoi	q u o i |
radio	r a d i o |
raison	r a i s o n |
rapport	r a p p o r t |
reagan	r e a g a n |
realite	r e a l i t e |
rebelion	r e b e l i o n |
recherche	r e c h e r c h e |
recours	r e c o u r s |
redo	r e d o |
refouler	r e f o u l e r |
reglementaire	r e g l e m e n t a i r e |
religion	r e l i g i o n |
rendezvous	r e n d e z v o u s |
reponse	r e p o n s e |
respect	r e s p e c t |
restaurant	r e s t a u r a n t |
retard	r e t a r d |
retroviseur	r e t r o v i s e u r |
ricelle	r i c e l l e |
rien	r i e n |
rigo	r i g o |
robert	r o b e r t |
robinet	r o b i n e t |
rouge	r o u g e |
rwanda	r w a n d a |
rythme	r y t h m e |
sac	s a c |
sacoche	s a c o c h e |
saddam	s a d d a m |
saint	s a i n t |
sainte	s a i n t e |
sainteanne	s a i n t e a n n e |
sainthilaire	s a i n t h i l a i r e |
saintrombeau	s a i n t r o m b e a u |
saisons	s a i s o n s |
saki	s a k i |
sala	s a l a |
salaire	s a l a i r e |
salle	s a l l e |
salon	s a l o n |
sambo	s a m b o |
sanduku	s a n d u k u |
sangana	s a n g a n a |
sango	s a n g o |
sans	s a n s |
sante	s a n t e |
santu	s a n t u |
sanza	s a n z a |
sapato	s a p a t o |
sarah	s a r a h |
satana	s a t a n a |
savant	s a v a n t |
savons	s a v o n s |
scibe	s c i b e |
se	s e |
secondaire	s e c o n d a i r e |
securite	s e c u r i t e |
seka	s e k a |
selina	s e l i n a |
sene	s e n e |
senegal	s e n e g a l |
sentinelle	s e n t i n e l l e |
sentinnelle	s e n t i n n e l l e |
sepi	s e p i |
serie	s e r i e |
serieux	s e r i e u x |
service	s e r v i c e |
sheki	s h e k i |
shimboki	s h i m b o k i |
si	s i |
siege	s i e g e |
signal	s i g n a l |
signe	s i g n e |
sika	s i k a |
sikoyɔ	s i k o y ɔ |
siloe	s i l o e |
sim	s i m |
simba	s i m b a |
simisi	s i m i s i |
sinon	s i n o n |
sinzili	s i n z i l i |
sisca	s i s c a |
siska	s i s k a |
situation	s i t u a t i o n |
six	s i x |
smartphone	s m a r t p h o n e |
societe	s o c i e t e |
soda	s o d a |
soixante	s o i x a n t e |
soki	s o k i |
soko	s o k o |
sokoro	s o k o r o |
sokoto	s o k o t o |
solde	s o l d e |
solo	s o l o |
solosolo	s o l o s o l o |
solution	s o l u t i o n |
son	s o n |
sonde	s o n d e |
songe	s o n g e |
soucis	s o u c i s |
soulboth	s o u l b o t h |
soulier	s o u l i e r |
souvenir	s o u v e n i r |
soyi	s o y i |
springcourt	s p r i n g c o u r t |
stade	s t a d e |
state	s t a t e |
stervos	s t e r v o s |
subsistance	s u b s i s t a n c e |
succes	s u c c e s |
suffit	s u f f i t |
sujet	s u j e t |
suka	s u k a |
sukali	s u k a l i |
sukasuka	s u k a s u k a |
suki	s u k i |
sukuma	s u k u m a |
super	s u p e r |
surtout	s u r t o u t |
susi	s u s i |
syndicats	s y n d i c a t s |
synkin	s y n k i n |
systematique	s y s t e m a t i q u e |
ta	t a |
tableau	t a b l e a u |
taksi	t a k s i |
tala	t a l a |
talo	t a l o |
talu	t a l u |
tanga	t a n g a |
tango	t a n g o |
tangu	t a n g u |
tata	t a t a |
tatakulutu	t a t a k u l u t u |
tatamwasi	t a t a m w a s i |
taverne	t a v e r n e |
taxi	t a x i |
taxibus	t a x i b u s |
tcc	t c c |
te	t e |
tebakangi	t e b a k a n g i |
tein	t e i n |
telecel	t e l e c e l |
telefone	t e l e f o n e |
telema	t e l e m a |
telephone	t e l e p h o n e |
temps	t e m p s |
thiongo	t h i o n g o |
ti	t i |
tibia	t i b i a |
ticket	t i c k e t |
tidie	t i d i e |
tii	t i i |
tiii	t i i i |
tika	t i k a |
tikala	t i k a l a |
tin	t i n |
tina	t i n a |
to	t o |
tobanda	t o b a n d a |
tobandaki	t o b a n d a k i |
tobebanaki	t o b e b a n a k i |
tobeta	t o b e t a |
tobikaka	t o b i k a k a |
tobongisa	t o b o n g i s a |
tobukaka	t o b u k a k a |
tokata	t o k a t a |
tokeitofanda	t o k e i t o f a n d a |
tokobalana	t o k o b a l a n a |
tokobanga	t o k o b a n g a |
tokobokola	t o k o b o k o l a |
tokoki	t o k o k i |
tokokoma	t o k o k o m a |
tokolangwa	t o k o l a n g w a |
tokolia	t o k o l i a |
tokoloba	t o k o l o b a |
tokoma	t o k o m a |
tokomi	t o k o m i |
tokomona	t o k o m o n a |
tokosala	t o k o s a l a |
tokoseka	t o k o s e k a |
tokosilisa	t o k o s i l i s a |
tokosolola	t o k o s o l o l a |
tokosomba	t o k o s o m b a |
tokotala	t o k o t a l a |
tokotiya	t o k o t i y a |
tokutana	t o k u t a n a |
tokutanaka	t o k u t a n a k a |
tokutanaki	t o k u t a n a k i |
tokutani	t o k u t a n i |
tokɛnda	t o k ɛ n d a |
tokɛndɛ	t o k ɛ n d ɛ |
tolandaka	t o l a n d a k a |
toli	t o l i |
tolia	t o l i a |
tolingi	t o l i n g i |
tolo	t o l o |
toloba	t o l o b a |
tolobela	t o l o b e l a |
tolongolaka	t o l o n g o l a k a |
tolongwaki	t o l o n g w a k i |
toluka	t o l u k a |
tolɛmbi	t o l ɛ m b i |
tomanyɔmala	t o m a n y ɔ m a l a |
tombola	t o m b o l a |
tombolabwaka	t o m b o l a b w a k a |
tomesana	t o m e s a n a |
tomilukelaka	t o m i l u k e l a k a |
tomona	t o m o n a |
tomonaka	t o m o n a k a |
tompɔna	t o m p ɔ n a |
tondima	t o n d i m a |
topekisaka	t o p e k i s a k a |
tosala	t o s a l a |
tosalaka	t o s a l a k a |
tosi	t o s i |
tosilana	t o s i l a n a |
tosili	t o s i l i |
tosololaki	t o s o l o l a k i |
tosuki	t o s u k i |
totala	t o t a l a |
totalaka	t o t a l a k a |
toteka	t o t e k a |
totekaka	t o t e k a k a |
totika	t o t i k a |
tour	t o u r |
touristes	t o u r i s t e s |
tout	t o u t |
towutaka	t o w u t a k a |
toya	t o y a |
toyaka	t o y a k a |
toyeba	t o y e b a |
toyebaki	t o y e b a k i |
toyebi	t o y e b i |
toyoka	t o y o k a |
toyokaka	t o y o k a k a |
tozalaki	t o z a l a k i |
tozali	t o z a l i |
tozela	t o z e l a |
tozobeta	t o z o b e t a |
tozokoma	t o z o k o m a |
tozonga	t o z o n g a |
tozongela	t o z o n g e l a |
tozosolola	t o z o s o l o l a |
train	t r a i n |
tram	t r a m |
transco	t r a n s c o |
trente	t r e n t e |
tribune	t r i b u n e |
triomphal	t r i o m p h a l |
trois	t r o i s |
trop	t r o p |
tshanga	t s h a n g a |
tshangamuka	t s h a n g a m u k a |
tshiluba	t s h i l u b a |
tshindongo	t s h i n d o n g o |
tshotsho	t s h o t s h o |
tuku	t u k u |
tumba	t u m b a |
tuna	t u n a |
tv	t v |
type	t y p e |
tɔnga	t ɔ n g a |
un	u n |
unikin	u n i k i n |
universite	u n i v e r s i t e |
upc	u p c |
urgence	u r g e n c e |
usine	u s i n e |
uta	u t a |
utexco	u t e x c o |
uvira	u v i r a |
valeur	v a l e u r |
vegetale	v e g e t a l e |
velo	v e l o |
verite	v e r i t e |
vers	v e r s |
vert	v e r t |
veste	v e s t e |
victoire	v i c t o i r e |
vide	v i d e |
vie	v i e |
vieux	v i e u x |
villa	v i l l a |
ville	v i l l e |
vingt	v i n g t |
vingttrois	v i n g t t r o i s |
visa	v i s a |
visite	v i s i t e |
vita	v i t a |
voiture	v o i t u r e |
vol	v o l |
vote	v o t e |
vre	v r e |
vrema	v r e m a |
wa	w a |
wabu	w a b u |
wana	w a n a |
wapi	w a p i |
wemba	w e m b a |
westone	w e s t o n e |
wɛnzɛ	w ɛ n z ɛ |
y	y |
ya	y a |
yaka	y a k a |
yambo	y a m b o |
yango	y a n g o |
yaounde	y a o u n d e |
yaya	y a y a |
ye	y e |
yebi	y e b i |
yebika	y e b i k a |
yebisa	y e b i s a |
yuma	y u m a |
yɔ	y ɔ |
yɔka	y ɔ k a |
yɔko	y ɔ k o |
yɔmbɔngɔ	y ɔ m b ɔ n g ɔ |
zabolo	z a b o l o |
zadio	z a d i o |
zaire	z a i r e |
zaireango	z a i r e a n g o |
zaires	z a i r e s |
zairois	z a i r o i s |
zala	z a l a |
zamba	z a m b a |
zambazamba	z a m b a z a m b a |
zando	z a n d o |
zapo	z a p o |
zaventem	z a v e n t e m |
zela	z e l a |
zelo	z e l o |
zemi	z e m i |
zoba	z o b a |
zododo	z o d o d o |
zolo	z o l o |
zomi	z o m i |
zone	z o n e |
zonga	z o n g a |
zuwa	z u w a |
zwa	z w a |
